,power
,apparent
1640996398,2628
1640996399,2628
1640996400,3073
1640996401,3073
1640996402,3073
1640996403,3073
1640996404,3073
1640996405,3072
1640996406,3072
1640996407,3072
1640996408,3072
1640996409,3072
1640996410,3078
1640996411,3078
1640996412,3078
1640996413,3078
1640996414,3078
1640996415,3071
1640996416,3071
1640996417,3071
1640996418,3071
1640996419,3071
1640996420,3418
1640996421,3418
1640996422,3418
1640996423,3418
1640996424,3418
1640996425,3793
1640996426,3793
1640996427,3793
1640996428,3793
1640996429,3793
1640996430,3801
1640996431,3801
1640996432,3801
1640996433,3801
1640996434,3801
1640996435,3795
1640996436,3795
1640996437,3795
1640996438,3795
1640996439,3795
1640996440,3802
1640996441,3802
1640996442,3802
1640996443,3802
1640996444,3802
1640996445,3795
1640996446,3795
1640996447,3795
1640996448,3795
1640996449,3795
1640996450,3794
1640996451,3794
1640996452,3794
1640996453,3794
1640996454,3794
1640996455,3790
1640996456,3790
1640996457,3790
1640996458,3790
1640996459,3790
1640996460,3775
1640996461,3775
1640996462,3775
1640996463,3775
1640996464,3775
1640996465,3783
1640996466,3783
1640996467,3783
1640996468,3783
1640996469,3783
1640996470,3783
1640996471,3783
1640996472,3783
1640996473,3783
1640996474,3783
1640996475,3772
1640996476,3772
1640996477,3772
1640996478,3772
1640996479,3772
1640996480,3072
1640996481,3072
1640996482,3072
1640996483,3072
1640996484,3072
1640996485,3070
1640996486,3070
1640996487,3070
1640996488,3070
1640996489,3070
1640996490,3072
1640996491,3072
1640996492,3072
1640996493,3072
1640996494,3072
1640996495,3073
1640996496,3073
1640996497,3073
1640996498,3073
1640996499,3073
1640996500,3080
1640996501,3080
1640996502,3080
1640996503,3080
1640996504,3080
1640996505,3082
1640996506,3082
1640996507,3082
1640996508,3082
1640996509,3082
1640996510,3084
1640996511,3084
1640996512,3084
1640996513,3084
1640996514,3084
1640996515,3080
1640996516,3080
1640996517,3080
1640996518,3080
1640996519,3080
1640996520,3075
1640996521,3075
1640996522,3075
1640996523,3075
1640996524,3075
1640996525,3073
1640996526,3073
1640996527,3073
1640996528,3073
1640996529,3073
1640996530,3014
1640996531,3014
1640996532,3014
1640996533,3014
1640996534,3014
1640996535,1661
1640996536,1661
1640996537,1661
1640996538,1661
1640996539,1661
1640996540,1328
1640996541,1328
1640996542,1328
1640996543,1328
1640996544,1328
1640996545,234
1640996546,234
1640996547,234
1640996548,234
1640996549,234
1640996550,938
1640996551,938
1640996552,938
1640996553,938
1640996554,938
1640996555,938
1640996556,938
1640996557,938
1640996558,938
1640996559,938
1640996560,931
1640996561,931
1640996562,931
1640996563,931
1640996564,931
1640996565,932
1640996566,932
1640996567,932
1640996568,932
1640996569,932
1640996570,934
1640996571,934
1640996572,934
1640996573,934
1640996574,934
1640996575,933
1640996576,933
1640996577,933
1640996578,933
1640996579,933
1640996580,939
1640996581,939
1640996582,939
1640996583,939
1640996584,939
1640996585,938
1640996586,938
1640996587,938
1640996588,938
1640996589,938
1640996590,937
1640996591,937
1640996592,937
1640996593,937
