,power
timestamp,active
1640996005,0.1424
1640996006,0.1424
1640996007,0.1424
1640996008,0.1424
1640996009,0.1424
1640996010,0.1429
1640996011,0.1429
1640996012,0.1429
1640996013,0.1429
1640996014,0.1429
1640996015,0.1406
1640996016,0.1406
1640996017,0.1406
1640996018,0.1406
1640996019,0.1406
1640996020,0.0000
1640996021,0.0000
1640996022,0.0000
1640996023,0.0000
1640996024,0.0000
1640996025,0.0347
1640996026,0.0347
1640996027,0.0347
1640996028,0.0347
1640996029,0.0347
1640996030,0.1296
1640996031,0.1296
1640996032,0.1296
1640996033,0.1296
1640996034,0.1296
1640996035,0.1424
1640996036,0.1424
1640996037,0.1424
1640996038,0.1424
1640996039,0.1424
1640996040,0.1419
1640996041,0.1419
1640996042,0.1419
1640996043,0.1419
1640996044,0.1419
1640996045,0.1459
1640996046,0.1459
1640996047,0.1459
1640996048,0.1459
1640996049,0.1459
1640996050,0.1477
1640996051,0.1477
1640996052,0.1477
1640996053,0.1477
1640996054,0.1477
1640996055,0.1458
1640996056,0.1458
1640996057,0.1458
1640996058,0.1458
1640996059,0.1458
1640996060,0.1474
1640996061,0.1474
1640996062,0.1474
1640996063,0.1474
1640996064,0.1474
1640996065,0.1426
1640996066,0.1426
1640996067,0.1426
1640996068,0.1426
1640996069,0.1426
1640996070,0.1426
1640996071,0.1426
1640996072,0.1426
1640996073,0.1426
1640996074,0.1426
1640996075,0.1429
1640996076,0.1429
1640996077,0.1429
1640996078,0.1429
1640996079,0.1429
1640996080,0.1409
1640996081,0.1409
1640996082,0.1409
1640996083,0.1409
1640996084,0.1409
1640996085,0.0943
1640996086,0.0943
1640996087,0.0943
1640996088,0.0943
1640996089,0.0943
1640996090,0.1430
1640996091,0.1430
1640996092,0.1430
1640996093,0.1430
1640996094,0.1430
1640996095,0.1427
1640996096,0.1427
1640996097,0.1427
1640996098,0.1427
1640996099,0.1427
1640996100,0.1490
1640996101,0.1490
1640996102,0.1490
1640996103,0.1490
1640996104,0.1490
1640996105,0.1527
1640996106,0.1527
1640996107,0.1527
1640996108,0.1527
1640996109,0.1527
1640996110,0.1527
1640996111,0.1527
1640996112,0.1527
1640996113,0.1527
1640996114,0.1527
1640996115,0.1442
1640996116,0.1442
1640996117,0.1442
1640996118,0.1442
1640996119,0.1442
1640996120,0.1460
1640996121,0.1460
1640996122,0.1460
1640996123,0.1460
1640996124,0.1460
1640996125,0.1603
1640996126,0.1603
1640996127,0.1603
1640996128,0.1603
1640996129,0.1603
1640996130,0.1536
1640996131,0.1536
1640996132,0.1536
1640996133,0.1536
1640996134,0.1536
1640996135,0.1483
1640996136,0.1483
1640996137,0.1483
1640996138,0.1483
1640996139,0.1483
1640996140,0.1483
1640996141,0.1483
1640996142,0.1483
1640996143,0.1483
1640996144,0.1483
1640996145,0.1456
1640996146,0.1456
1640996147,0.1456
1640996148,0.1456
1640996149,0.1456
1640996150,0.1437
1640996151,0.1437
1640996152,0.1437
1640996153,0.1437
1640996154,0.1437
1640996155,0.1489
1640996156,0.1489
1640996157,0.1489
1640996158,0.1489
1640996159,0.1489
1640996160,0.1467
1640996161,0.1467
1640996162,0.1467
1640996163,0.1467
1640996164,0.1467
1640996165,0.1591
1640996166,0.1591
1640996167,0.1591
1640996168,0.1591
1640996169,0.1591
1640996170,0.1468
1640996171,0.1468
1640996172,0.1468
1640996173,0.1468
1640996174,0.1468
1640996175,0.1484
1640996176,0.1484
1640996177,0.1484
1640996178,0.1484
1640996179,0.1484
1640996180,0.1415
1640996181,0.1415
1640996182,0.1415
1640996183,0.1415
1640996184,0.1415
1640996185,0.0235
1640996186,0.0235
1640996187,0.0235
1640996188,0.0235
1640996189,0.0235
1640996190,0.1375
1640996191,0.1375
1640996192,0.1375
1640996193,0.1375
1640996194,0.1375
1640996195,0.1437
1640996196,0.1437
1640996197,0.1437
1640996198,0.1437
1640996199,0.1437
1640996200,0.1437
1640996201,0.1437
1640996202,0.1437
1640996203,0.1437
1640996204,0.1437
1640996205,0.1439
1640996206,0.1439
1640996207,0.1439
1640996208,0.1439
1640996209,0.1439
1640996210,0.1440
1640996211,0.1440
1640996212,0.1440
1640996213,0.1440
1640996214,0.1440
1640996215,0.1463
1640996216,0.1463
1640996217,0.1463
1640996218,0.1463
1640996219,0.1463
1640996220,0.1442
1640996221,0.1442
1640996222,0.1442
1640996223,0.1442
1640996224,0.1442
1640996225,0.1445
1640996226,0.1445
1640996227,0.1445
1640996228,0.1445
1640996229,0.1445
1640996230,0.1440
1640996231,0.1440
1640996232,0.1440
1640996233,0.1440
1640996234,0.1440
1640996235,0.1440
1640996236,0.1440
1640996237,0.1440
1640996238,0.1440
1640996239,0.1440
1640996240,0.1443
1640996241,0.1443
1640996242,0.1443
1640996243,0.1443
1640996244,0.1443
1640996245,0.1443
1640996246,0.1443
1640996247,0.1443
1640996248,0.1443
1640996249,0.1443
1640996250,0.1440
1640996251,0.1440
1640996252,0.1440
1640996253,0.1440
1640996254,0.1440
1640996255,0.1452
1640996256,0.1452
1640996257,0.1452
1640996258,0.1452
1640996259,0.1452
1640996260,0.1452
1640996261,0.1452
1640996262,0.1452
1640996263,0.1452
1640996264,0.1452
1640996265,0.1452
1640996266,0.1452
1640996267,0.1452
1640996268,0.1452
1640996269,0.1452
1640996270,0.1496
1640996271,0.1496
1640996272,0.1496
1640996273,0.1496
1640996274,0.1496
1640996275,0.1468
1640996276,0.1468
1640996277,0.1468
1640996278,0.1468
1640996279,0.1468
1640996280,0.1444
1640996281,0.1444
1640996282,0.1444
1640996283,0.1444
1640996284,0.1444
1640996285,0.1444
1640996286,0.1444
1640996287,0.1444
1640996288,0.1444
1640996289,0.1444
1640996290,0.1444
1640996291,0.1444
1640996292,0.1444
1640996293,0.1444
1640996294,0.1444
1640996295,0.1444
1640996296,0.1444
1640996297,0.1444
1640996298,0.1444
1640996299,0.1444
1640996300,0.1444
1640996301,0.1444
1640996302,0.1444
1640996303,0.1444
1640996304,0.1444
1640996305,0.1444
1640996306,0.1444
1640996307,0.1444
1640996308,0.1444
1640996309,0.1444
1640996310,0.1444
1640996311,0.1444
1640996312,0.1444
1640996313,0.1444
1640996314,0.1444
1640996315,0.1447
1640996316,0.1447
1640996317,0.1447
1640996318,0.1447
1640996319,0.1447
1640996320,0.1444
1640996321,0.1444
1640996322,0.1444
1640996323,0.1444
1640996324,0.1444
1640996325,0.1475
1640996326,0.1475
1640996327,0.1475
1640996328,0.1475
1640996329,0.1475
1640996330,0.1475
1640996331,0.1475
1640996332,0.1475
1640996333,0.1475
1640996334,0.1475
1640996335,0.1475
1640996336,0.1475
1640996337,0.1475
1640996338,0.1475
1640996339,0.1475
1640996340,0.1475
1640996341,0.1475
1640996342,0.1475
1640996343,0.1475
1640996344,0.1475
1640996345,0.1475
1640996346,0.1475
1640996347,0.1475
1640996348,0.1475
1640996349,0.1475
1640996350,0.1475
1640996351,0.1475
1640996352,0.1475
1640996353,0.1475
1640996354,0.1475
1640996355,0.1005
1640996356,0.1005
1640996357,0.1005
1640996358,0.1005
1640996359,0.1005
1640996360,0.1005
1640996361,0.1005
1640996362,0.1005
1640996363,0.1005
1640996364,0.1005
1640996365,0.1005
1640996366,0.1005
1640996367,0.1005
1640996368,0.1005
1640996369,0.1005
1640996370,0.1005
1640996371,0.1005
1640996372,0.1005
1640996373,0.1005
1640996374,0.1005
1640996375,0.1005
1640996376,0.1005
1640996377,0.1005
1640996378,0.1005
1640996379,0.1005
1640996380,0.1005
1640996381,0.1005
1640996382,0.1005
1640996383,0.1005
1640996384,0.1005
1640996385,0.0254
1640996386,0.0254
1640996387,0.0254
1640996388,0.0254
1640996389,0.0254
1640996390,0.0254
1640996391,0.0254
1640996392,0.0254
1640996393,0.0254
1640996394,0.0254
1640996395,0.0254
1640996396,0.0254
1640996397,0.0254
1640996398,0.0254
1640996399,0.0254
1640996400,0.0254
1640996401,0.0254
1640996402,0.0254
1640996403,0.0254
1640996404,0.0254
1640996405,0.0254
1640996406,0.0254
1640996407,0.0254
1640996408,0.0254
1640996409,0.0254
1640996410,0.0254
1640996411,0.0254
1640996412,0.0254
1640996413,0.0254
1640996414,0.0254
1640996415,0.0283
1640996416,0.0283
1640996417,0.0283
1640996418,0.0283
1640996419,0.0283
1640996420,0.0283
1640996421,0.0283
1640996422,0.0283
1640996423,0.0283
1640996424,0.0283
1640996425,0.0283
1640996426,0.0283
1640996427,0.0283
1640996428,0.0283
1640996429,0.0283
1640996430,0.0283
1640996431,0.0283
1640996432,0.0283
1640996433,0.0283
1640996434,0.0283
1640996435,0.0283
1640996436,0.0283
1640996437,0.0283
1640996438,0.0283
1640996439,0.0283
1640996440,0.0283
1640996441,0.0283
1640996442,0.0283
1640996443,0.0283
1640996444,0.0283
1640996445,0.0238
1640996446,0.0238
1640996447,0.0238
1640996448,0.0238
1640996449,0.0238
1640996450,0.0238
1640996451,0.0238
1640996452,0.0238
1640996453,0.0238
1640996454,0.0238
1640996455,0.0238
1640996456,0.0238
1640996457,0.0238
1640996458,0.0238
1640996459,0.0238
1640996460,0.0238
1640996461,0.0238
1640996462,0.0238
1640996463,0.0238
1640996464,0.0238
1640996465,0.0238
1640996466,0.0238
1640996467,0.0238
1640996468,0.0238
1640996469,0.0238
1640996470,0.0238
1640996471,0.0238
1640996472,0.0238
1640996473,0.0238
1640996474,0.0238
1640996475,0.0250
1640996476,0.0250
1640996477,0.0250
1640996478,0.0250
1640996479,0.0250
1640996480,0.0250
1640996481,0.0250
1640996482,0.0250
1640996483,0.0250
1640996484,0.0250
1640996485,0.0250
1640996486,0.0250
1640996487,0.0250
1640996488,0.0250
1640996489,0.0250
1640996490,0.0250
1640996491,0.0250
1640996492,0.0250
1640996493,0.0250
1640996494,0.0250
1640996495,0.0250
1640996496,0.0250
1640996497,0.0250
1640996498,0.0250
1640996499,0.0250
1640996500,0.0250
1640996501,0.0250
1640996502,0.0250
1640996503,0.0250
1640996504,0.0250
1640996505,0.0204
1640996506,0.0204
1640996507,0.0204
1640996508,0.0204
1640996509,0.0204
1640996510,0.0204
1640996511,0.0204
1640996512,0.0204
1640996513,0.0204
1640996514,0.0204
1640996515,0.0204
1640996516,0.0204
1640996517,0.0204
1640996518,0.0204
1640996519,0.0204
1640996520,0.0204
1640996521,0.0204
1640996522,0.0204
1640996523,0.0204
1640996524,0.0204
1640996525,0.0204
1640996526,0.0204
1640996527,0.0204
1640996528,0.0204
1640996529,0.0204
1640996530,0.0204
1640996531,0.0204
1640996532,0.0204
1640996533,0.0204
1640996534,0.0204
1640996535,0.0185
1640996536,0.0185
1640996537,0.0185
1640996538,0.0185
1640996539,0.0185
1640996540,0.0185
1640996541,0.0185
1640996542,0.0185
1640996543,0.0185
1640996544,0.0185
1640996545,0.0185
1640996546,0.0185
1640996547,0.0185
1640996548,0.0185
1640996549,0.0185
1640996550,0.0185
1640996551,0.0185
1640996552,0.0185
1640996553,0.0185
1640996554,0.0185
1640996555,0.0185
1640996556,0.0185
1640996557,0.0185
1640996558,0.0185
1640996559,0.0185
1640996560,0.0185
1640996561,0.0185
1640996562,0.0185
1640996563,0.0185
1640996564,0.0185
1640996565,0.0211
1640996566,0.0211
1640996567,0.0211
1640996568,0.0211
1640996569,0.0211
1640996570,0.0211
1640996571,0.0211
1640996572,0.0211
1640996573,0.0211
1640996574,0.0211
1640996575,0.0211
1640996576,0.0211
1640996577,0.0211
1640996578,0.0211
1640996579,0.0211
1640996580,0.0211
1640996581,0.0211
1640996582,0.0211
1640996583,0.0211
1640996584,0.0211
1640996585,0.0211
1640996586,0.0211
1640996587,0.0211
1640996588,0.0211
1640996589,0.0211
1640996590,0.0211
1640996591,0.0211
1640996592,0.0211
1640996593,0.0211
1640996594,0.0211
