Time Bucket (America/Chicago),Load Disaggregation 1_1 (kWatts)
11/16/2022 14:44:19,0.0000
11/16/2022 14:44:20,0.0000
11/16/2022 14:44:21,0.0000
11/16/2022 14:44:22,0.0000
11/16/2022 14:44:23,0.0000
11/16/2022 14:44:24,0.0000
11/16/2022 14:44:25,0.0000
11/16/2022 14:44:26,0.0000
11/16/2022 14:44:27,0.0000
11/16/2022 14:44:28,0.0000
11/16/2022 14:44:29,0.0000
11/16/2022 14:44:30,0.0000
11/16/2022 14:44:31,0.0000
11/16/2022 14:44:32,0.0000
11/16/2022 14:44:33,0.0000
11/16/2022 14:44:34,0.0000
11/16/2022 14:44:35,0.0000
11/16/2022 14:44:36,0.0000
11/16/2022 14:44:37,0.0000
11/16/2022 14:44:38,0.0000
11/16/2022 14:44:39,0.0000
11/16/2022 14:44:40,0.0000
11/16/2022 14:44:41,0.0000
11/16/2022 14:44:42,0.0000
11/16/2022 14:44:43,0.0000
11/16/2022 14:44:44,0.0000
11/16/2022 14:44:45,0.0000
11/16/2022 14:44:46,0.0000
11/16/2022 14:44:47,0.0000
11/16/2022 14:44:48,0.0000
11/16/2022 14:44:49,0.0000
11/16/2022 14:44:50,0.0000
11/16/2022 14:44:51,0.0000
11/16/2022 14:44:52,0.0000
11/16/2022 14:44:53,0.0000
11/16/2022 14:44:54,0.0000
11/16/2022 14:44:55,0.0000
11/16/2022 14:44:56,0.0000
11/16/2022 14:44:57,0.0000
11/16/2022 14:44:58,0.0000
11/16/2022 14:44:59,0.0000
11/16/2022 14:45:00,0.0000
11/16/2022 14:45:01,0.0000
11/16/2022 14:45:02,0.0000
11/16/2022 14:45:03,0.0000
11/16/2022 14:45:04,0.0000
11/16/2022 14:45:05,0.0000
11/16/2022 14:45:06,0.0000
11/16/2022 14:45:07,0.0000
11/16/2022 14:45:08,0.0000
11/16/2022 14:45:09,0.0000
11/16/2022 14:45:10,0.0000
11/16/2022 14:45:11,0.0000
11/16/2022 14:45:12,0.0000
11/16/2022 14:45:13,0.0000
11/16/2022 14:45:14,0.0000
11/16/2022 14:45:15,0.0000
11/16/2022 14:45:16,0.0000
11/16/2022 14:45:17,0.0000
11/16/2022 14:45:18,0.0000
11/16/2022 14:45:19,0.0000
11/16/2022 14:45:20,0.0000
11/16/2022 14:45:21,0.0000
11/16/2022 14:45:22,0.0000
11/16/2022 14:45:23,0.0000
11/16/2022 14:45:24,0.0000
11/16/2022 14:45:25,0.0000
11/16/2022 14:45:26,0.0000
11/16/2022 14:45:27,0.0000
11/16/2022 14:45:28,0.0000
11/16/2022 14:45:29,0.0000
11/16/2022 14:45:30,0.0000
11/16/2022 14:45:31,0.0000
11/16/2022 14:45:32,0.0000
11/16/2022 14:45:33,0.0000
11/16/2022 14:45:34,0.0000
11/16/2022 14:45:35,0.0000
11/16/2022 14:45:36,0.0000
11/16/2022 14:45:37,0.0000
11/16/2022 14:45:38,0.0000
11/16/2022 14:45:39,0.0000
11/16/2022 14:45:40,0.0000
11/16/2022 14:45:41,0.0000
11/16/2022 14:45:42,0.0000
11/16/2022 14:45:43,0.0000
11/16/2022 14:45:44,0.0000
11/16/2022 14:45:45,0.0000
11/16/2022 14:45:46,0.0000
11/16/2022 14:45:47,0.0000
11/16/2022 14:45:48,0.0000
11/16/2022 14:45:49,0.0000
11/16/2022 14:45:50,0.0000
11/16/2022 14:45:51,0.0000
11/16/2022 14:45:52,0.0000
11/16/2022 14:45:53,0.0000
11/16/2022 14:45:54,0.0000
11/16/2022 14:45:55,0.0000
11/16/2022 14:45:56,0.0000
11/16/2022 14:45:57,0.0000
11/16/2022 14:45:58,0.0000
11/16/2022 14:45:59,0.0000
11/16/2022 14:46:00,0.0000
11/16/2022 14:46:01,0.0000
11/16/2022 14:46:02,0.0000
11/16/2022 14:46:03,0.0000
11/16/2022 14:46:04,0.0000
11/16/2022 14:46:05,0.0000
11/16/2022 14:46:06,0.0000
11/16/2022 14:46:07,0.0000
11/16/2022 14:46:08,0.0000
11/16/2022 14:46:09,0.0000
11/16/2022 14:46:10,0.0000
11/16/2022 14:46:11,0.0000
11/16/2022 14:46:12,0.0000
11/16/2022 14:46:13,0.0000
11/16/2022 14:46:14,0.0000
11/16/2022 14:46:15,0.0000
11/16/2022 14:46:16,0.0000
11/16/2022 14:46:17,0.0000
11/16/2022 14:46:18,0.0000
11/16/2022 14:46:19,0.0000
11/16/2022 14:46:20,0.0000
11/16/2022 14:46:21,0.0000
11/16/2022 14:46:22,1.4153
11/16/2022 14:46:23,1.4153
11/16/2022 14:46:24,1.4153
11/16/2022 14:46:25,1.4153
11/16/2022 14:46:26,1.4153
11/16/2022 14:46:27,1.4393
11/16/2022 14:46:28,1.4393
11/16/2022 14:46:29,1.4393
11/16/2022 14:46:30,1.4393
11/16/2022 14:46:31,1.4393
11/16/2022 14:46:32,1.4346
11/16/2022 14:46:33,1.4346
11/16/2022 14:46:34,1.4346
11/16/2022 14:46:35,1.4346
11/16/2022 14:46:36,1.4346
11/16/2022 14:46:37,1.4328
11/16/2022 14:46:38,1.4328
11/16/2022 14:46:39,1.4328
11/16/2022 14:46:40,1.4328
11/16/2022 14:46:41,1.4328
11/16/2022 14:46:42,1.4320
11/16/2022 14:46:43,1.4320
11/16/2022 14:46:44,1.4320
11/16/2022 14:46:45,1.4320
11/16/2022 14:46:46,1.4320
11/16/2022 14:46:47,1.4264
11/16/2022 14:46:48,1.4264
11/16/2022 14:46:49,1.4264
11/16/2022 14:46:50,1.4264
11/16/2022 14:46:51,1.4264
11/16/2022 14:46:52,1.4259
11/16/2022 14:46:53,1.4259
11/16/2022 14:46:54,1.4259
11/16/2022 14:46:55,1.4259
11/16/2022 14:46:56,1.4259
11/16/2022 14:46:57,1.4281
11/16/2022 14:46:58,1.4281
11/16/2022 14:46:59,1.4281
11/16/2022 14:47:00,1.4281
11/16/2022 14:47:01,1.4281
11/16/2022 14:47:02,1.4293
11/16/2022 14:47:03,1.4293
11/16/2022 14:47:04,1.4293
11/16/2022 14:47:05,1.4293
11/16/2022 14:47:06,1.4293
11/16/2022 14:47:07,1.4277
11/16/2022 14:47:08,1.4277
11/16/2022 14:47:09,1.4277
11/16/2022 14:47:10,1.4277
11/16/2022 14:47:11,1.4277
11/16/2022 14:47:12,1.4268
11/16/2022 14:47:13,1.4268
11/16/2022 14:47:14,1.4268
11/16/2022 14:47:15,1.4268
11/16/2022 14:47:16,1.4268
11/16/2022 14:47:17,1.4258
11/16/2022 14:47:18,1.4258
11/16/2022 14:47:19,1.4258
11/16/2022 14:47:20,1.4258
11/16/2022 14:47:21,1.4258
11/16/2022 14:47:22,1.4244
11/16/2022 14:47:23,1.4244
11/16/2022 14:47:24,1.4244
11/16/2022 14:47:25,1.4244
11/16/2022 14:47:26,1.4244
11/16/2022 14:47:27,1.4254
11/16/2022 14:47:28,1.4254
11/16/2022 14:47:29,1.4254
11/16/2022 14:47:30,1.4254
11/16/2022 14:47:31,1.4254
11/16/2022 14:47:32,1.4270
11/16/2022 14:47:33,1.4270
11/16/2022 14:47:34,1.4270
11/16/2022 14:47:35,1.4270
11/16/2022 14:47:36,1.4270
11/16/2022 14:47:37,1.4264
11/16/2022 14:47:38,1.4264
11/16/2022 14:47:39,1.4264
11/16/2022 14:47:40,1.4264
11/16/2022 14:47:41,1.4264
11/16/2022 14:47:42,1.4265
11/16/2022 14:47:43,1.4265
11/16/2022 14:47:44,1.4265
11/16/2022 14:47:45,1.4265
11/16/2022 14:47:46,1.4265
11/16/2022 14:47:47,1.4243
